id,type,subpanel,budget,duration,coinvestigators
2011/01/B/NZ5/05346,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 186 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 8
2011/01/B/ST4/01130,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST4   - Chemia analityczna i fizyczna: chemia analityczna, metody teoretyczne w chemii, chemia fizyczna/fizyka chemiczna, m.in.:",Przyznana kwota: 1 703 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 12
2011/01/B/NZ5/05367,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 279 600 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 8
2011/01/B/ST5/06664,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST5   - Synteza i materiały: otrzymywanie materiałów, związki struktury z właściwościami, nowoczesne materiały o założonych właściwościach, architektura (makro)molekularna, chemia organiczna, chemia nieorganiczna, m.in.:",Przyznana kwota: 281 800 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 4
2011/01/B/NZ5/05373,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 597 155 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 7
2011/01/B/NZ5/05380,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ5   - Choroby niezakaźne ludzi i zwierząt: przyczyny, mechanizmy, rozpoznawanie i leczenie chorób, zatruć i urazów, m.in.:",Przyznana kwota: 1 277 080 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 7
2011/01/B/ST6/02769,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST6   - Informatyka i technologie informacyjne: technologie i systemy informacyjne, informatyka, obliczenia naukowe, systemy inteligentne, m.in.:",Przyznana kwota: 419 900 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 5
2011/01/B/NZ6/00264,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ6   - Immunologia i choroby zakaźne ludzi i zwierząt: odporność, choroby immunologiczne, immunoterapia, choroby zakaźne i inwazyjne, m.in.:",Przyznana kwota: 414 815 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 10
2011/01/B/ST8/07167,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST8   - Inżynieria procesów i produkcji: projektowanie wyrobów, projektowanie i sterowanie procesami produkcji, konstrukcje i procesy budowlane, inżynieria materiałowa, systemy energetyczne, m.in.:",Przyznana kwota: 334 100 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 5
2011/01/B/NZ6/00268,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ6   - Immunologia i choroby zakaźne ludzi i zwierząt: odporność, choroby immunologiczne, immunoterapia, choroby zakaźne i inwazyjne, m.in.:",Przyznana kwota: 600 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 3
2011/01/B/ST4/00718,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST4   - Chemia analityczna i fizyczna: chemia analityczna, metody teoretyczne w chemii, chemia fizyczna/fizyka chemiczna, m.in.:",Przyznana kwota: 193 310 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 4
2011/01/B/NZ6/00278,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ6   - Immunologia i choroby zakaźne ludzi i zwierząt: odporność, choroby immunologiczne, immunoterapia, choroby zakaźne i inwazyjne, m.in.:",Przyznana kwota: 521 108 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 8
2011/01/B/ST4/00636,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST4   - Chemia analityczna i fizyczna: chemia analityczna, metody teoretyczne w chemii, chemia fizyczna/fizyka chemiczna, m.in.:",Przyznana kwota: 263 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 4
2011/01/B/NZ6/00300,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ6   - Immunologia i choroby zakaźne ludzi i zwierząt: odporność, choroby immunologiczne, immunoterapia, choroby zakaźne i inwazyjne, m.in.:",Przyznana kwota: 400 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 8
2011/01/B/ST5/06292,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST5   - Synteza i materiały: otrzymywanie materiałów, związki struktury z właściwościami, nowoczesne materiały o założonych właściwościach, architektura (makro)molekularna, chemia organiczna, chemia nieorganiczna, m.in.:",Przyznana kwota: 438 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 12
2011/01/B/NZ6/00320,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ6   - Immunologia i choroby zakaźne ludzi i zwierząt: odporność, choroby immunologiczne, immunoterapia, choroby zakaźne i inwazyjne, m.in.:",Przyznana kwota: 229 320 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 5
2011/01/B/ST6/06500,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST6   - Informatyka i technologie informacyjne: technologie i systemy informacyjne, informatyka, obliczenia naukowe, systemy inteligentne, m.in.:",Przyznana kwota: 396 850 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 7
2011/01/B/NZ6/00322,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ6   - Immunologia i choroby zakaźne ludzi i zwierząt: odporność, choroby immunologiczne, immunoterapia, choroby zakaźne i inwazyjne, m.in.:",Przyznana kwota: 306 102 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 3
2011/01/B/NZ6/01781,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ6   - Immunologia i choroby zakaźne ludzi i zwierząt: odporność, choroby immunologiczne, immunoterapia, choroby zakaźne i inwazyjne, m.in.:",Przyznana kwota: 396 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 8
2011/01/B/ST8/07068,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST8   - Inżynieria procesów i produkcji: projektowanie wyrobów, projektowanie i sterowanie procesami produkcji, konstrukcje i procesy budowlane, inżynieria materiałowa, systemy energetyczne, m.in.:",Przyznana kwota: 540 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 9
2011/01/B/NZ6/01845,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ6   - Immunologia i choroby zakaźne ludzi i zwierząt: odporność, choroby immunologiczne, immunoterapia, choroby zakaźne i inwazyjne, m.in.:",Przyznana kwota: 399 900 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 5
2011/01/B/NZ6/01872,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"NZ6   - Immunologia i choroby zakaźne ludzi i zwierząt: odporność, choroby immunologiczne, immunoterapia, choroby zakaźne i inwazyjne, m.in.:",Przyznana kwota: 459 600 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 10
2011/01/B/ST3/04504,Konkurs: OPUS 1  - ogłoszony 2011-03-15,"ST3   - Fizyka fazy skondensowanej: struktura, własności elektronowe, płyny, nano-nauka, m.in.:",Przyznana kwota: 1 235 000 PLN,Czas trwania projektu: 36 miesięcy,Liczba wykonawców projektu: 7
